story_name	reading_time_min	Author	LastName	Name	country	genera	Wiki_URL	cats	linked_authors	Birth Year	Death Year
Un día de espera	4.62	Hemingway, Ernest	Hemingway	Ernest	Estados Unidos	Romanticismo	https://es.wikipedia.org/wiki/Ernest_Hemingway	Afectados por enfermedades del espectro bipolar,Antifranquistas de Estados Unidos,Católicos de Estados Unidos,Condecorados con la Estrella de Bronce,Conversos al catolicismo desde el protestantismo,Corresponsales de guerra de Estados Unidos,Cuentistas de Estados Unidos,Ensayistas de Estados Unidos,Ernest Hemingway,Escritores de Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores en inglés del siglo XX,Escritores que cometieron suicidio,Estadounidenses laureados con el Premio Nobel de Literatura,Fallecidos en 1961,Fallecidos en Idaho,Ganadores del Premio Pulitzer,Hijos adoptivos de Ronda,Hombres,Laureados con el Premio Nobel 1954,Laureados con el Premio Nobel de Literatura por idioma inglés,Miembros de la Resistencia francesa,Miembros de la generación perdida,Militares estadounidenses de la Primera Guerra Mundial,Nacidos en 1899,Novelistas de Estados Unidos,Novelistas del siglo XX,Orden Carlos Manuel de Céspedes,Periodistas en la guerra civil española,Personas de Illinois,Sanfermines,Socialistas de Estados Unidos,Suicidas de Estados Unidos,Suicidas por arma de fuego,Suicidios en 1961,Suicidios masculinos,Viajeros del siglo XX por España	Carl Sandburg,Ezra Pound,F. Scott Fitzgerald,Henry James,Herman Melville,Isak Dinesen,J. D. Salinger,James Joyce,Marcel Proust,Mark Twain,Oscar Wilde,Pío Baroja,Ray Bradbury,Ring Lardner,Saul Bellow,Sherwood Anderson,Stephen Crane,W. B. Yeats	1899	1961
El perro que perseguía al león	0.3	Esopo	Esopo		Grecia					Siglo VI AC	
Teoría del cangrejo	1.175	Cortázar, Julio	Cortázar	Julio	Argentino	Romanticismo	https://es.wikipedia.org/wiki/Julio_Cort%C3%A1zar	Alumnado de la Facultad de Filosofía y Letras de la Universidad de Buenos Aires,Argentinos fallecidos en el exterior,Argentinos nacidos en el exterior,Artistas e intelectuales prohibidos por el Proceso de Reorganización Nacional,Ateos de Argentina,Ateos de Francia,Candidatos al Premio Nobel de Literatura,Cuentistas de Argentina,Cuentistas de Francia del siglo XX,Escritores de Argentina del siglo XX,Escritores de Francia del siglo XX,Escritores de París,Escritores de literatura fantástica de Argentina,Escritores de terror de Argentina,Escritores de terror de Francia,Escritores en español del siglo XX,Escritores en francés de Argentina,Expatriados argentinos en Francia,Fallecidos en 1984,Fallecidos en París,Hombres,Julio Cortázar,Microrrelatistas,Miembros de la Academia de las Artes de Berlín,Nacidos en 1914,Nacionalizados de Francia,Novelistas de Argentina,Novelistas de Francia del siglo XX,Personas con doble nacionalidad,Personas de Banfield,Personas de Bruselas,Poetas de Argentina del siglo XX,Políglotas de Argentina,Premio Konex,Premio Konex de Honor,Sepultados en el cementerio de Montparnasse,Traductores de Argentina,Traductores de Edgar Allan Poe,Traductores de Francia del siglo XX,Traductores del francés al español,Traductores del inglés al español	Adolfo Bioy Casares,Alejandra Pizarnik,Antonin Artaud,Carlos Fuentes,Cristina Peri Rossi,Daniel Defoe,Edgar Allan Poe,Ernesto Cardenal,Gabriel García Márquez,Heberto Padilla,Jean-Paul Sartre,Jean Cocteau,John Keats,Jorge Luis Borges,José Lezama Lima,Juan Carlos Onetti,Julio Verne,Luis Cernuda,Marguerite Yourcenar,Octavio Paz,Pablo Neruda,Pedro Salinas,Ramón Gómez de la Serna,Victor Hugo,Victoria Ocampo	1914	1984
Prioridades	0.145	Twain, Mark	Twain	Mark	Estados Unidos	Romanticismo	https://es.wikipedia.org/wiki/Mark_Twain	Autobiógrafos de Estados Unidos,Autores modernos de ficción de la materia de Bretaña,Críticos de las religiones,Críticos del mormonismo,Cuentistas de Estados Unidos,Deístas,Doctores honoris causa por la Universidad de Oxford,Ensayistas de Estados Unidos,Escritores con seudónimo,Escritores de Estados Unidos del siglo XIX,Escritores de Estados Unidos del siglo XX,Escritores de aventuras,Escritores de literatura humorística,Escritores sobre viajes del siglo XIX,Escritores sobre viajes del siglo XX,Escuela de Sagebrush,Fallecidos en 1910,Fallecidos en Connecticut,Fallecidos por infarto agudo de miocardio,Graduados honorarios de la Universidad Yale,Hombres,Mark Twain,Masones de Estados Unidos,Miembros de la Academia Estadounidense de las Artes y las Letras,Nacidos en 1835,Novelistas de Estados Unidos,Novelistas del siglo XIX,Novelistas del siglo XX,Personas de Misuri,Presbiterianos de Estados Unidos,Satíricos de Estados Unidos	Bret Harte,Ernest Hemingway,Herman Melville,Robert Louis Stevenson,William Faulkner	1835	1910
Carta para Suecia	1.15	Mrozek, Slawomir	Mrozek	Slawomir	Polonia		https://es.wikipedia.org/wiki/S%C5%82awomir_Mro%C5%BCek	Caballeros de la Legión de Honor,Cuentistas de Polonia,Dibujantes de Polonia,Doctores honoris causa por la Universidad de Cracovia,Dramaturgos de Polonia,Escritores de Polonia del siglo XX,Escritores en polaco,Fallecidos en 2013,Fallecidos en Niza,Historietistas de Polonia,Hombres,Nacidos en 1930,Nacidos en el voivodato de Pequeña Polonia	Sergio Pitol	1930	2013
¡Abrió los ojos!	0.375	Jiménez, Juan Ramón	Jiménez	Juan Ramón	España		https://es.wikipedia.org/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez	Aforistas,Artistas de Moguer,Doctores honoris causa de la Universidad Nacional Autónoma de México,Escritores de España del Modernismo,Escritores de España del Novecentismo,Escritores de la provincia de Huelva,Escritores del Modernismo,Escritores en español del siglo XX,Españoles laureados con el Premio Nobel de Literatura,Exiliados del franquismo en Estados Unidos,Fallecidos en 1958,Fallecidos en San Juan (Puerto Rico),Generación de 1914,Hombres,Juan Ramón Jiménez,Laureados con el Premio Nobel 1956,Laureados con el Premio Nobel de Literatura por idioma español,Microrrelatistas,Nacidos en 1881,Nacidos en Moguer,Personas de Moguer,Poesía moderna,Poetas de España del siglo XX,Poetas de la provincia de Huelva,Poetas en español,Premios Nobel de España,Profesores de España,Residentes	Albert Camus,Antonio Machado,Charles Baudelaire,Emily Dickinson,Gustavo Adolfo Bécquer,León Felipe,Paul Verlaine,Percy Bysshe Shelley,Rabindranath Tagore,Rubén Darío,William Blake,Ángel Crespo	1881	1958
La cueva de Platón	0.765	Anderson Imbert, Enrique	Anderson Imbert	Enrique	Argentina		https://es.wikipedia.org/wiki/Enrique_Anderson_Imbert	Alumnado de la Facultad de Filosofía y Letras de la Universidad de Buenos Aires,Alumnado del Colegio Nacional Rafael Hernández,Beca Guggenheim,Críticos literarios de Argentina,Cuentistas de Argentina,Ensayistas de Argentina,Escritores de la provincia de Córdoba (Argentina),Escritores en español del siglo XX,Fallecidos en 2000,Fallecidos en Buenos Aires,Hombres,Miembros de la Academia Argentina de Letras,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Nacidos en 1910,Nacidos en Córdoba (Argentina),Novelistas de Argentina,Profesorado de la Universidad Nacional de Tucumán,Profesores de la Universidad Nacional de Cuyo,Profesores de la Universidad de Harvard,Profesores de la Universidad de Míchigan,Sepultados en el Cementerio Jardín de Paz de Pilar		1910	2000
Ladrón de sábado	3.195	García Márquez, Gabriel	García Márquez	Gabriel	Colombia	Romanticismo	https://es.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez	Alumnado de la Universidad Nacional de Colombia,Ateos de Colombia,Condecorados con la Orden al Mérito Docente y Cultural Gabriela Mistral,Cuentistas de Colombia,Escritores posmodernos,Fallecidos en 2014,Fallecidos en Ciudad de México,Gabriel García Márquez,Hombres,Laureados con el Premio Nobel 1982,Nacidos en 1927,Nacidos en Aracataca,Novelistas de Colombia,Premio Nobel de Literatura	Alejo Carpentier,Carlos Fuentes,Daniel Defoe,Ernest Hemingway,Franz Kafka,James Joyce,Jorge Luis Borges,Juan Rulfo,Julio Cortázar,Mario Benedetti,Miguel de Cervantes,Miguel Ángel Asturias,Pablo Neruda,Virginia Woolf,William Faulkner,Álvaro Cepeda Samudio,Álvaro Mutis	1927	2014
Un hombre conocido	6.26	Chejov, Anton	Chejov	Anton	Rusia	Dramaturgia	https://es.wikipedia.org/wiki/Ant%C3%B3n_Ch%C3%A9jov	Antón Chéjov,Cuentistas de Rusia,Dramaturgos de Rusia del siglo XIX,Ensayistas de Rusia,Escritores de Rusia del siglo XIX,Escritores de ficción psicológica,Escritores en ruso,Escritores médicos,Fallecidos en 1904,Fallecidos por tuberculosis,Hombres,Nacidos en 1860,Nacidos en Taganrog,Novelistas de Rusia del siglo XIX,Personas que dan nombre a un asteroide,Sepultados en el cementerio Novodévichi	E. L. Doctorow,Edgar Allan Poe,George Steiner,Guy de Maupassant,James Joyce,Jorge Luis Borges,Máximo Gorki,Tennessee Williams,Virginia Woolf,Émile Zola	1860	1904
El arte de la observación	1.475	Anónimo	Anónimo		India						
Don Quijote cuerdo	0.145	Denevi, Marco	Denevi	Marco	Argentina		https://es.wikipedia.org/wiki/Marco_Denevi	Alumnado del Colegio Nacional de Buenos Aires,Cuentistas de Argentina,Diplomas al mérito Konex,Dramaturgos de Argentina,Escritores en español del siglo XX,Fallecidos en 1998,Hombres,Microrrelatistas,Nacidos en 1920,Novelistas de Argentina,Periodistas de Argentina,Personas de Sáenz Peña (Buenos Aires),Sepultados en el cementerio de la Recoleta		1922	1998
Lo que se puede inventar	5.485	Andersen, Hans Christian	Andersen	Hans Christian	Dinamarca	Romanticismo	https://es.wikipedia.org/wiki/Hans_Christian_Andersen	Autodidactas,Comandantes de primera clase de la Orden de Dannebrog,Cuentistas de Dinamarca,Escritores LGBT de Dinamarca,Escritores bisexuales,Escritores de Dinamarca del siglo XIX,Escritores de literatura infantil de Dinamarca,Escritores en danés,Escritores sobre viajes del siglo XIX,Fallecidos en 1875,Fallecidos por cáncer de hígado en Dinamarca,Hans Christian Andersen,Historia LGBT en Dinamarca,Hombres,Nacidos en 1805,Nacidos en Odense,Novelistas de Dinamarca del siglo XIX,Personas que dan nombre a un asteroide,Poetas de Dinamarca del siglo XIX,Protestantes de Dinamarca,Viajeros del siglo XIX por España,Zurdos	Charles Dickens,William Shakespeare	1805	1875
El ciervo y la viña	0.465	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
El glotón	0.31	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
Forzados	6.455	Bosch, Juan	Bosch	Juan	Republica Dominicana		https://es.wikipedia.org/wiki/Juan_Bosch	Autodidactas,Cuentistas de República Dominicana,Educadores de República Dominicana,Ensayistas de República Dominicana,Escritores en español del siglo XX,Exiliados dominicanos en Cuba,Fallecidos en 2001,Gobernantes que fueron derrocados por un golpe de Estado,Grandes oficiales de la Legión de Honor,Hispanistas por país,Historiadores de República Dominicana,Hombres,Nacidos en 1909,Nacidos en la provincia La Vega,Novelistas de República Dominicana,Orden José Martí,Orden al Mérito de Duarte, Sánchez y Mella,Políticos de República Dominicana,Políticos del Partido de la Liberación Dominicana,Presidentes de República Dominicana,Profesores de República Dominicana	Gabriel García Márquez,José Martí	1909	2001
Dichos de Luder 78	0.155	Ribeyro, Julio Ramón	Ribeyro	Julio Ramón	Peru	Romanticismo	https://es.wikipedia.org/wiki/Julio_Ram%C3%B3n_Ribeyro	Fallecidos en 1994,Hombres,Julio Ramón Ribeyro,Nacidos en 1929	Jorge Luis Borges,Julio Cortázar,Ricardo Palma	1929	1994
Seis barbas de besugo	0.455	Gómez de la Serna, Ramón	Gómez de la Serna	Ramón	España	Romanticismo	https://es.wikipedia.org/wiki/Ram%C3%B3n_G%C3%B3mez_de_la_Serna	Alumnado de las Escuelas Pías,Biógrafos de España del siglo XX,Ensayistas de Argentina,Ensayistas de España del siglo XX,Escritores costumbristas de España,Escritores de Argentina del siglo XX,Escritores de España del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en español del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de España del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrileños,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de España del siglo XX,Periodistas de España del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núñez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	1888	1963
Al ombligo	0.035	Gómez de la Serna, Ramón	Gómez de la Serna	Ramón	España	Romanticismo	https://es.wikipedia.org/wiki/Ram%C3%B3n_G%C3%B3mez_de_la_Serna	Alumnado de las Escuelas Pías,Biógrafos de España del siglo XX,Ensayistas de Argentina,Ensayistas de España del siglo XX,Escritores costumbristas de España,Escritores de Argentina del siglo XX,Escritores de España del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en español del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de España del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrileños,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de España del siglo XX,Periodistas de España del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núñez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	1888	1963
